id	category	subcategory	runner	artifact	description
LANG-0001	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 3+2
LANG-0002	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 4+3
LANG-0003	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 5+4
LANG-0004	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 6+5
LANG-0005	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 7+6
LANG-0006	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 8+7
LANG-0007	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 9+8
LANG-0008	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 10+9
LANG-0009	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 11+10
LANG-0010	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 12+2
LANG-0011	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 13+3
LANG-0012	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 14+4
LANG-0013	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 15+5
LANG-0014	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 16+6
LANG-0015	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 17+7
LANG-0016	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 18+8
LANG-0017	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 19+9
LANG-0018	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 20+10
LANG-0019	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 21+2
LANG-0020	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 22+3
LANG-0021	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 23+4
LANG-0022	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 24+5
LANG-0023	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 25+6
LANG-0024	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 26+7
LANG-0025	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 27+8
LANG-0026	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 28+9
LANG-0027	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 29+10
LANG-0028	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 30+2
LANG-0029	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 31+3
LANG-0030	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 32+4
LANG-0031	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 33+5
LANG-0032	language-runtime	integer-addition	runtime-01	cases/runtime/runtime_01.CMOT	I32 addition 34+6
LANG-0033	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 40 - 3
LANG-0034	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 3 * 4
LANG-0035	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 42 - 5
LANG-0036	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 5 * 6
LANG-0037	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 44 - 7
LANG-0038	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 7 * 3
LANG-0039	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 46 - 9
LANG-0040	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 9 * 5
LANG-0041	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 48 - 4
LANG-0042	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 3 * 7
LANG-0043	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 50 - 6
LANG-0044	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 5 * 4
LANG-0045	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 52 - 8
LANG-0046	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 7 * 6
LANG-0047	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 54 - 3
LANG-0048	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 9 * 3
LANG-0049	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 56 - 5
LANG-0050	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 3 * 5
LANG-0051	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 58 - 7
LANG-0052	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 5 * 7
LANG-0053	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 60 - 9
LANG-0054	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 7 * 4
LANG-0055	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 62 - 4
LANG-0056	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 9 * 6
LANG-0057	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 64 - 6
LANG-0058	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 3 * 3
LANG-0059	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 66 - 8
LANG-0060	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 5 * 5
LANG-0061	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 68 - 3
LANG-0062	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 7 * 7
LANG-0063	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 70 - 5
LANG-0064	language-runtime	subtraction-multiplication	runtime-02	cases/runtime/runtime_02.CMOT	Integer expression 9 * 4
